,modified Zurich class,largest spot size,spot distribution,activity,evolution,previous 24 hour flare activity,historically-complex,became complex on this pass,area,area of largest spot,common flares,moderate flares,severe flares,sum of flares,target
0,1.0,4.0,2.0,1,2,1,1,2,1,2,0,0,0,0,0
1,2.0,4.0,2.0,1,3,1,1,2,1,2,0,0,0,0,0
2,1.0,4.0,2.0,1,3,1,1,2,1,1,0,0,0,0,0
3,2.0,4.0,2.0,1,3,1,1,2,1,2,0,0,0,0,0
4,2.0,0.0,2.0,1,3,1,1,2,1,2,0,0,0,0,0
5,2.0,0.0,2.0,1,2,1,1,2,1,2,0,0,0,0,0
6,2.0,0.0,2.0,1,2,1,1,2,1,1,0,0,0,0,0
7,2.0,0.0,2.0,1,2,1,1,2,1,2,0,0,0,0,0
8,2.0,2.0,2.0,1,3,1,1,2,1,2,0,0,0,0,0
9,1.0,3.0,2.0,1,3,1,1,2,1,1,0,0,0,0,0
10,0.0,5.0,2.0,1,3,1,1,2,1,1,0,0,0,0,0
11,2.0,4.0,2.0,1,2,1,1,2,1,1,0,0,0,0,0
12,1.0,1.0,1.0,1,3,1,1,2,1,2,0,0,0,0,0
13,2.0,3.0,2.0,1,3,1,1,2,1,1,0,0,0,0,0
14,0.0,5.0,2.0,1,2,1,1,2,1,1,0,0,0,0,0
15,0.0,5.0,2.0,1,3,1,1,2,1,1,0,0,0,0,0
16,2.0,2.0,1.0,1,3,1,1,2,1,2,0,0,0,0,0
17,2.0,4.0,2.0,1,2,1,1,2,1,2,0,0,0,0,0
18,2.0,3.0,2.0,1,2,1,1,2,1,1,0,0,0,0,0
19,1.0,0.0,1.0,1,2,1,1,2,1,2,0,0,0,0,0
20,1.0,4.0,2.0,1,2,1,1,2,1,1,0,0,0,0,0
21,0.0,5.0,2.0,1,3,1,1,2,1,1,0,0,0,0,0
22,4.0,2.0,1.0,1,3,1,2,2,1,2,0,0,0,0,0
23,0.0,5.0,2.0,1,2,1,1,2,1,1,0,0,0,0,0
24,5.0,3.0,3.0,1,2,1,1,1,1,2,0,0,0,0,0
25,0.0,5.0,1.0,1,3,1,1,2,1,1,0,0,0,0,0
26,1.0,3.0,1.0,1,3,1,1,2,1,2,0,0,0,0,0
27,0.0,5.0,2.0,1,3,1,1,2,1,1,0,0,0,0,0
28,0.0,5.0,2.0,1,3,1,1,2,1,2,0,0,0,0,0
